School_ID,Short_Name,Safety_Level,School_Latitude,School_Longitude,Total_Crimes,Total_Thefts,Total_Batteries,Total_Assaults,Total_Robberies,Total_Weapon_Violations,Total_Homicides,ACT_Score,College_Enrollment_Pct,Graduation_Pct,Level
610571,OMBUDSMAN - WEST HS,2.0,41.874673,-87.687842,2634.0,527.0,500.0,208.0,152.0,43.0,12.0,14.4,7.4,,
400136,YCCS - OLIVE HARVEY,2.0,41.712922,-87.592333,350.0,56.0,67.0,38.0,13.0,9.0,1.0,15.1,39.3,,
610334,RABY HS,2.0,41.88621,-87.715423,3255.0,368.0,802.0,229.0,162.0,98.0,14.0,14.5,51.1,67.5,2.0
610304,PHOENIX MILITARY HS,2.0,41.879118,-87.68696,2575.0,545.0,487.0,192.0,178.0,31.0,12.0,19.0,45.2,92.9,5.0
609708,FOREMAN HS,2.0,41.939797,-87.75416700000002,1379.0,206.0,246.0,107.0,53.0,13.0,1.0,15.3,44.6,64.7,2.0
609709,GAGE PARK HS,1.0,41.791013,-87.68895400000002,1450.0,197.0,322.0,115.0,89.0,21.0,7.0,14.4,21.8,62.8,3.0
610392,WORLD LANGUAGE HS,2.0,41.834397,-87.735292,345.0,49.0,81.0,36.0,12.0,6.0,,17.5,57.8,85.0,5.0
609716,KELVYN PARK HS,2.0,41.927918,-87.73599899999998,1295.0,296.0,217.0,90.0,51.0,21.0,5.0,15.0,36.2,65.7,2.0
610563,BACK OF THE YARDS HS,3.0,41.808413,-87.677541,1544.0,297.0,317.0,132.0,92.0,33.0,15.0,17.6,,,5.0
400144,YCCS - WESTSIDE HOLISTIC,,41.90224,-87.74880999999998,2648.0,498.0,527.0,202.0,118.0,77.0,15.0,14.1,20.8,,
610244,CLARK HS,2.0,41.872885,-87.753325,3314.0,427.0,701.0,225.0,160.0,101.0,16.0,16.3,54.1,82.1,3.0
609734,TAFT HS,2.0,41.982961,-87.791547,345.0,84.0,57.0,31.0,3.0,1.0,,18.9,63.0,87.2,4.0
610499,COLLINS HS,1.0,41.864149,-87.702042,3280.0,391.0,779.0,296.0,116.0,141.0,17.0,14.7,41.2,61.0,2.0
609679,PROSSER HS,2.0,41.920059,-87.761048,1483.0,226.0,330.0,104.0,44.0,25.0,4.0,18.1,66.4,87.6,5.0
400175,CAMELOT - EXCEL SOUTHSHORE HS,,41.759749,-87.556487,2942.0,341.0,860.0,294.0,149.0,62.0,15.0,13.8,8.3,,
400052,NOBLE - COMER,,41.764083,-87.601974,1505.0,199.0,390.0,152.0,92.0,34.0,4.0,17.9,84.2,85.4,3.0
609759,CLEMENTE HS,2.0,41.902626,-87.68690600000002,2732.0,841.0,381.0,162.0,121.0,19.0,3.0,15.4,43.3,81.5,2.0
400013,ASPIRA - EARLY COLLEGE HS,2.0,41.937298,-87.727096,1651.0,356.0,293.0,129.0,52.0,15.0,2.0,14.9,29.5,79.2,3.0
609769,GRAHAM HS,3.0,41.849675,-87.625315,1665.0,457.0,312.0,113.0,107.0,11.0,3.0,,3.7,,
610402,DEVRY HS,5.0,41.941388,-87.690761,818.0,311.0,88.0,35.0,22.0,6.0,,21.1,80.0,,5.0
400172,ASPIRA - BUSINESS & FINANCE HS,3.0,41.935726,-87.718204,1959.0,487.0,316.0,152.0,95.0,17.0,2.0,,,,4.0
609732,STEINMETZ HS,1.0,41.935634,-87.78351500000002,964.0,204.0,174.0,85.0,37.0,11.0,,16.3,47.4,73.9,3.0
609692,SIMEON HS,2.0,41.745781,-87.63541,1976.0,512.0,382.0,180.0,74.0,52.0,4.0,16.2,63.2,85.2,4.0
400150,YCCS - CHATHAM,3.0,41.730131,-87.60698000000002,1532.0,223.0,331.0,126.0,81.0,38.0,6.0,13.3,19.4,,
