,School ID,Year,Composite
688,609764,2016,16.5
689,609762,2001,14.6
690,609762,2002,15.1
691,609762,2003,14.7
692,609762,2004,15.4
693,609762,2005,15.7
694,609762,2006,12.5
695,609762,2007,15.6
696,609762,2008,15.1
697,609762,2009,15.3
698,609762,2010,15.1
699,609762,2011,14.7
700,609762,2012,15.5
701,609762,2013,15.0
702,609762,2014,15.0
703,609762,2015,15.0
704,609762,2016,14.7
705,609715,2001,15.0
706,609715,2002,15.0
707,609715,2003,15.1
708,609715,2004,15.4
709,609715,2005,15.9
710,609715,2006,16.2
711,609715,2007,16.8
712,609715,2008,16.8
713,609715,2009,16.9
714,609715,2010,17.3
715,609715,2011,17.1
716,609715,2012,16.8
717,609715,2013,16.9
718,609715,2014,16.7
719,609715,2015,17.0
720,609715,2016,17.1
721,609716,2001,13.7
722,609716,2002,14.0
723,609716,2003,14.0
724,609716,2004,14.1
725,609716,2005,14.7
726,609716,2006,14.7
727,609716,2007,15.2
728,609716,2008,15.2
729,609716,2009,14.7
730,609716,2010,15.2
731,609716,2011,14.9
732,609716,2012,15.2
733,609716,2013,14.8
734,609716,2014,15.8
735,609716,2015,15.5
736,609716,2016,15.0
737,609718,2001,16.3
738,609718,2002,16.9
739,609718,2003,16.6
740,609718,2004,15.9
741,609718,2005,17.0
742,609718,2006,16.5
743,609718,2007,16.4
744,609718,2008,16.8
745,609718,2009,16.3
746,609718,2010,16.3
747,609718,2011,16.4
748,609718,2012,17.9
749,609718,2013,17.6
750,609718,2014,18.5
751,609718,2015,18.5
752,609718,2016,18.1
753,609746,2001,19.4
754,609746,2002,17.8
755,609746,2003,17.3
756,609746,2004,17.8
757,609746,2005,18.3
758,609746,2006,17.9
759,609746,2007,18.6
760,609746,2008,18.8
761,609746,2009,18.6
762,609746,2010,18.7
763,609746,2011,19.2
764,609746,2012,19.3
765,609746,2013,18.7
766,609746,2014,19.4
767,609746,2015,19.6
768,609746,2016,19.2
769,609751,2001,12.9
770,609751,2005,18.8
771,609751,2006,18.6
772,609751,2007,19.5
773,609751,2008,19.4
774,609751,2009,18.9
775,609751,2010,19.7
776,609751,2011,20.5
777,609751,2012,20.9
778,609751,2013,21.2
779,609751,2014,20.3
780,609751,2015,20.8
781,609751,2016,20.6
782,609719,2001,16.5
783,609719,2002,16.5
784,609719,2003,16.6
785,609719,2004,17.0
786,609719,2005,17.5
787,609719,2006,17.2
788,609719,2007,17.8
789,609719,2008,17.7
790,609719,2009,18.0
791,609719,2010,18.2
792,609719,2011,17.8
793,609719,2012,18.6
794,609719,2013,18.1
795,609719,2014,18.1
796,609719,2015,17.8
797,609719,2016,17.5
798,609720,2001,21.2
799,609720,2002,21.0
800,609720,2003,20.8
801,609720,2004,21.8
802,609720,2005,21.6
803,609720,2006,21.5
804,609720,2007,22.3
805,609720,2008,22.7
806,609720,2009,22.4
807,609720,2010,22.9
808,609720,2011,23.5
809,609720,2012,23.9
810,609720,2013,24.8
811,609720,2014,24.0
812,609720,2015,25.1
813,609720,2016,25.6
814,800012,2015,7.6
815,800012,2016,
816,400119,2015,16.6
817,400119,2016,16.0
818,609738,2001,21.1
819,609738,2002,21.2
820,609738,2003,20.7
821,609738,2004,20.6
822,609738,2005,20.7
823,609738,2006,21.7
824,609738,2007,21.6
825,609738,2008,21.8
826,609738,2009,21.7
827,609738,2010,21.4
828,609738,2011,21.6
829,609738,2012,22.3
830,609738,2013,22.1
831,609738,2014,22.1
832,609738,2015,22.0
833,609738,2016,22.3
834,610391,2008,20.8
835,610391,2009,21.1
836,610391,2010,21.0
837,610391,2011,22.3
838,610391,2012,22.1
839,610391,2013,23.4
840,610391,2014,22.6
841,610391,2015,22.9
842,610391,2016,22.9
843,400137,2013,15.2
844,400137,2014,14.9
845,400137,2015,15.3
846,400137,2016,14.0
847,610581,2016,14.2
848,610582,2015,14.3
849,610582,2016,14.2
850,610580,2015,13.8
851,610580,2016,15.4
852,610566,2014,15.0
853,610566,2015,13.3
854,610566,2016,12.9
855,610567,2014,14.1
856,610567,2015,14.2
857,610567,2016,15.0
858,609722,2001,13.0
859,609722,2002,13.6
860,609722,2003,14.2
861,609722,2004,14.7
862,609722,2005,13.9
863,609722,2006,13.9
864,609722,2007,14.3
865,609722,2008,14.5
866,609722,2009,14.2
867,609722,2010,14.4
868,609722,2011,13.9
869,609722,2012,14.7
870,609722,2013,14.1
871,609722,2014,14.5
872,609722,2015,15.2
873,609722,2016,14.1
874,609780,2015,19.1
875,609780,2016,18.4
876,610502,2010,17.3
877,610502,2011,17.7
878,610502,2012,17.5
879,610502,2013,17.9
880,610502,2014,17.4
881,609723,2001,13.3
882,609723,2002,13.3
883,609723,2003,13.4
884,609723,2004,13.5
885,609723,2005,13.9
886,609723,2006,13.8
887,609723,2007,13.9
888,609723,2008,14.2
889,609723,2009,13.8
890,609723,2010,13.6
891,609723,2011,14.6
892,609723,2012,14.4
893,609723,2013,14.2
894,609723,2014,14.6
895,609723,2015,15.0
896,609723,2016,15.8
897,609724,2001,16.0
898,609724,2002,15.8
899,609724,2003,16.1
900,609724,2004,16.7
901,609724,2005,16.9
902,609724,2006,16.7
903,609724,2007,16.6
904,609724,2008,16.7
905,609724,2009,16.5
906,609724,2010,16.7
907,609724,2011,15.9
908,609724,2012,16.7
909,609724,2013,17.0
910,609724,2014,16.8
911,609724,2015,18.0
912,609724,2016,17.4
913,609725,2001,18.4
914,609725,2002,18.6
915,609725,2003,18.3
916,609725,2004,18.9
917,609725,2005,19.1
918,609725,2006,19.2
919,609725,2007,19.4
920,609725,2008,18.0
921,609725,2009,18.1
922,609725,2010,18.7
923,609725,2011,17.8
924,609725,2012,18.1
925,609725,2013,18.2
926,609725,2014,17.6
927,609725,2015,17.4
928,609725,2016,17.3
929,610385,2008,15.8
930,610385,2009,15.5
931,610385,2010,15.8
932,610385,2011,15.6
933,610385,2012,16.5
934,610385,2013,15.9
935,610385,2014,15.2
936,610385,2015,15.7
937,610385,2016,14.6
938,400157,2016,19.6
939,400097,2012,20.8
940,400097,2013,20.9
941,400097,2014,20.9
942,400097,2015,22.2
